Drill Listing
=============
Drill: .008  Tool: 1  Feed: 0  Speed: 0
X 1136377  Y 958622
X 1136377  Y 964921
X 1139527  Y 955472
X 1139527  Y 949173
X 1139527  Y 952323
X 1139527  Y 961771
X 1139527  Y 964921
X 1139528  Y 946022
X 1142676  Y 949173
X 1142676  Y 952323
X 1142676  Y 964921
X 1142676  Y 946023
X 1142676  Y 961771
X 1145826  Y 949173
X 1145826  Y 952323
X 1145826  Y 955472
X 1145826  Y 946023
X 1145826  Y 961771
X 1145826  Y 964921
X 1145826  Y 958622
X 1148976  Y 961771
X 1148976  Y 952323
X 1148976  Y 964921
X 1148976  Y 955472
X 1148976  Y 958622
X 1148976  Y 949173
X 1152125  Y 952323
X 1152125  Y 955472
X 1152125  Y 958622
X 1152125  Y 949173
X 1152128  Y 961772
X 1152128  Y 964922
X 1152248  Y 969896
X 1155275  Y 964921
X 1155275  Y 958622
X 1155275  Y 952323
X 1155275  Y 949173
X 1155275  Y 955472
X 1157099  Y 969397
X 1158425  Y 949173
X 1158425  Y 964921
X 1158425  Y 952323
X 1160753  Y 967851
X 1164724  Y 964921
X 1164724  Y 958622
X 1164724  Y 961771
X 1164724  Y 955472
X 1164724  Y 952323
X 1164724  Y 949173
X 1167874  Y 961771
X 1167874  Y 949173
X 1167874  Y 952323
X 1171023  Y 952323
X 1171023  Y 949173
X 1174173  Y 952323
X 1174173  Y 961771
X 1174173  Y 949173
X 1174173  Y 964921
X 1174173  Y 958622
X 1174178  Y 946022
X 1175653  Y 969846
X 1177323  Y 958622
X 1177323  Y 961771
X 1177323  Y 964921
X 1177323  Y 955472
X 1177323  Y 952323
X 1177323  Y 949173
X 1177323  Y 946023
X 1179353  Y 969846
X 1180472  Y 958622
X 1180472  Y 955472
X 1180472  Y 946023
X 1180472  Y 952323
X 1180472  Y 949173
X 1180472  Y 961771
X 1180473  Y 964922
X 1182948  Y 970396
X 1183622  Y 946023
X 1183622  Y 964921
X 1183622  Y 961771
X 1183622  Y 958622
X 1186771  Y 958622
X 1186771  Y 961771
X 1186771  Y 964921
X 1186771  Y 952323
X 1186771  Y 946023
X 1189153  Y 969346
X 1189921  Y 964921
X 1189921  Y 958622
X 1189921  Y 946023
X 1189921  Y 955472
X 1189921  Y 961771
X 1189921  Y 949173
X 1192400  Y 949146
X 1193864  Y 969446
X 1193900  Y 953046
X 1194051  Y 961248
X 1195453  Y 966851
X 1197200  Y 951046
X 1206803  Y 961351
X 1211653  Y 966851
X 1214603  Y 945619
X 1222606  Y 967046
X 1222800  Y 960100
X 1223353  Y 963046
X 1236800  Y 953300
X 1240451  Y 953497
X 1240500  Y 964700
X 1244351  Y 954797
X 1247808  Y 949175
X 1275553  Y 947251
X 1278653  Y 959751
X 1280153  Y 954646
X 1281653  Y 963751
X 1284153  Y 967751
X 1284653  Y 958251
X 1288653  Y 959251
X 1288653  Y 964751
X 1290253  Y 956401
X 1294153  Y 967251
X 1297503  Y 949151
X 1298653  Y 962751
X 1305952  Y 958952
X 1307153  Y 952451
X 1307668  Y 955929
X 1309353  Y 958951
X 1310953  Y 957251
X 1312653  Y 959951
X 1314453  Y 962951
X 1339653  Y 991851
X 1336452  Y 973952
X 1314153  Y 993151
X 1313952  Y 973952
