Drill Listing
=============
Drill: .008  Tool: 1  Feed: 0  Speed: 0
X 1142676  Y 933425
X 1142676  Y 927125
X 1142676  Y 923976
X 1139527  Y 920826
X 1139527  Y 939724
X 1139527  Y 933425
X 1136377  Y 933425
X 1136377  Y 920826
X 1133228  Y 933425
X 1133228  Y 920826
X 1130078  Y 920826
X 1130078  Y 930272
X 1130078  Y 933425
X 1130078  Y 923976
X 1130078  Y 927125
X 1127768  Y 934689
X 1126718  Y 922089
X 1110653  Y 943551
X 1100368  Y 934089
X 1086653  Y 932746
X 1060223  Y 935749
X 1048223  Y 937349
X 1045823  Y 932549
X 1041023  Y 942149
X 1035423  Y 941749
X 1031423  Y 940949
X 1029423  Y 923349
X 1027941  Y 940519
X 1027023  Y 925349
X 1026623  Y 920949
X 1023227  Y 927519
X 1017423  Y 923349
X 1017023  Y 940519
X 1010223  Y 940949
X 1005227  Y 944019
X 1004223  Y 925349
X 997227  Y 928019
X 996223  Y 942149
X 985423  Y 942149
X 981823  Y 936549
X 980223  Y 948949
X 980223  Y 959349
X 986727  Y 959019
X 991727  Y 952019
X 991823  Y 966149
X 992623  Y 954519
X 995023  Y 957349
X 995227  Y 964019
X 996223  Y 946149
X 1005023  Y 962949
X 1005227  Y 956019
X 1009423  Y 948949
X 1017023  Y 962949
X 1017023  Y 967749
X 1017978  Y 957889
X 1025823  Y 955349
X 1027227  Y 958019
X 1027227  Y 968019
X 1027423  Y 962949
X 1037423  Y 952949
X 1039727  Y 957519
X 1040727  Y 945519
X 1041023  Y 950149
X 1049823  Y 956149
X 1050227  Y 966019
X 1051227  Y 951519
X 1051423  Y 948149
X 1052623  Y 946019
X 1053423  Y 964019
X 1055823  Y 953749
X 1059823  Y 953749
X 1060623  Y 959349
X 1060623  Y 945749
X 1086653  Y 954346
X 1090606  Y 959439
X 1090653  Y 964251
X 1109053  Y 945951
X 1118206  Y 958389
X 1125300  Y 955500
X 1130078  Y 961771
X 1130078  Y 964921
X 1130078  Y 952323
X 1130078  Y 958622
X 1130078  Y 955472
X 1133228  Y 952323
X 1133228  Y 955472
X 1133228  Y 961771
X 1133228  Y 958622
X 1133228  Y 946023
X 1133228  Y 949172
X 1136377  Y 952323
X 1136377  Y 949173
X 1136377  Y 955472
X 1136377  Y 946023
X 1136377  Y 964921
X 1139527  Y 949173
X 1139527  Y 952323
X 1139527  Y 961771
X 1139527  Y 964921
X 1139528  Y 946022
X 1142676  Y 946023
X 1142676  Y 952323
X 1142676  Y 949173
X 1142676  Y 961771
X 1142676  Y 964921
X 1145826  Y 946023
X 1145826  Y 949173
X 1145826  Y 961771
X 1145826  Y 964921
X 1145826  Y 952323
X 1145826  Y 955472
X 1145826  Y 958622
X 1148976  Y 949173
X 1148976  Y 952323
X 1148976  Y 961771
X 1148976  Y 964921
X 1148976  Y 955472
X 1148976  Y 958622
X 1152125  Y 949173
X 1152125  Y 955472
X 1152125  Y 958622
X 1152125  Y 952323
X 1152128  Y 964922
X 1152128  Y 961772
X 1155275  Y 964921
X 1155275  Y 952323
X 1155275  Y 949173
X 1155275  Y 958622
X 1155275  Y 955472
X 1158425  Y 964921
X 1158425  Y 949173
X 1158425  Y 952323
X 1160753  Y 967851
X 1164724  Y 949173
X 1164724  Y 955472
X 1164724  Y 958622
X 1164724  Y 961771
X 1164724  Y 964921
X 1164724  Y 952323
X 1167874  Y 961771
X 1167874  Y 949173
X 1167874  Y 952323
X 1171023  Y 949173
X 1171023  Y 952323
X 1174173  Y 958622
X 1174173  Y 952323
X 1174173  Y 949173
X 1174173  Y 961771
X 1174173  Y 964921
X 1174178  Y 946022
X 1175653  Y 969846
X 1177323  Y 958622
X 1177323  Y 949173
X 1177323  Y 952323
X 1177323  Y 955472
X 1177323  Y 946023
X 1177323  Y 964921
X 1177323  Y 961771
X 1180472  Y 952323
X 1180472  Y 949173
X 1180472  Y 946023
X 1180472  Y 955472
X 1180472  Y 958622
X 1180472  Y 961771
X 1180473  Y 964922
X 1182153  Y 968846
X 1183622  Y 961771
X 1183622  Y 964921
X 1183622  Y 958622
X 1183622  Y 946023
X 1186771  Y 964921
X 1186771  Y 958622
X 1186771  Y 952323
X 1186771  Y 961771
X 1186771  Y 946023
X 1189153  Y 969346
X 1189921  Y 946023
X 1189921  Y 949173
X 1189921  Y 961771
X 1189921  Y 958622
X 1189921  Y 955472
X 1189921  Y 964921
X 1192000  Y 951000
X 1194051  Y 961248
X 1195453  Y 966851
X 1206803  Y 961351
X 1211653  Y 966851
X 1212000  Y 960150
X 1216653  Y 945619
X 1222606  Y 967389
X 1226618  Y 963201
X 1234606  Y 967389
X 1238153  Y 963201
X 1239600  Y 954700
X 1245600  Y 956000
X 1248100  Y 965700
X 1248200  Y 950000
X 1253300  Y 955000
X 1253600  Y 959000
X 1257653  Y 949351
X 1257900  Y 956900
X 1275553  Y 947251
X 1278653  Y 959751
X 1280153  Y 961751
X 1281653  Y 963751
X 1284153  Y 967751
X 1284653  Y 958251
X 1288653  Y 959251
X 1288653  Y 964751
X 1290253  Y 956401
X 1294153  Y 967251
X 1297503  Y 949151
X 1298653  Y 962751
X 1305518  Y 954389
X 1307153  Y 952451
X 1307668  Y 955929
X 1309353  Y 958951
X 1310953  Y 957251
X 1312653  Y 959951
X 1314453  Y 962951
X 1314900  Y 946630
X 1317530  Y 946670
X 1339653  Y 991851
X 1336453  Y 972751
X 1314153  Y 993151
X 1313953  Y 972751
X 1311753  Y 989251
X 1309153  Y 993151
X 1302653  Y 981751
X 1302153  Y 984751
X 1301618  Y 973489
X 1300153  Y 979251
X 1299653  Y 970989
X 1298653  Y 983251
X 1296653  Y 974489
X 1294656  Y 970889
X 1292653  Y 980251
X 1292653  Y 974251
X 1290153  Y 971251
X 1290153  Y 974251
X 1286653  Y 973251
X 1280153  Y 990001
X 1248100  Y 983100
X 1238300  Y 981000
X 1230953  Y 987251
X 1224653  Y 980751
X 1222606  Y 992589
X 1217453  Y 980451
X 1210606  Y 992589
X 1203406  Y 990189
X 1190453  Y 995301
X 1187453  Y 994951
X 1185153  Y 990846
