Item,P/N,ION Footprint,Qty,Unit,,Type,Rev,Stat,Title,Detail,Mfr P/N,Reference(m),Reference(t),Mfr Name
103,102145-4990R,r402-25,13,each,,PS,,U,"RES,SMT 0402,49.9 OHM,1%,1/16 WATT",MATL,ERJ-2RKF49R9X,"R249, R252, R256, R261, R295, R296, R297, R298, R299, R300, R301, R302, R303",,Panasonic
104,102145-5763R,r402-25,4,each,,PS,,U,"RES,SMT 0402,57.6K,1%,1/16 WATT",MATL,ERJ-2RKF5762X,"R312, R313, R314, R315",,Panasonic
110,100687-0001R,r603-35X45,7,each,,PS,,U,"RES,SMT 0603,0 OHM,1/16 WATT",MATL,ERJ-3GEY0R00V,"R30, R32, R33, R34, R36, R37, R87",,Panasonic
111,100687-1004R,r603-35X45,4,each,,PS,,U,"RES,SMT 0603,100K OHM,5%,1/16 WATT",MATL,RC0603JR-07100KL,"R228, R229, R230, R231",,Yageo
113,100552-0001R,r805-35x60,1,each,,PS,,U,"RES,SMT 0805,0 OHM,1/10 WATT",MATL,ERJ-6GEY0R00V,R9,,Panasonic
116,102145-1213R,r402-25,1,each,,PS,,U,"RES,SMT 0402,12.1K OHM,1%,1/16 WATT",MATL,ERJ-2RKF1212X,R104,,Panasonic
119,102145-4992R,r402-25,4,each,,PS,,U,"RES,SMT 0402,4.99K,1%,1/16 WATT",MATL,ERJ-2RKF4991X,"R102, R103, R234, R235",,Panasonic
130,101184-0004R,sw4-30x50-tda,1,each,,PS,,U,"SWITCH,DIP,SMT,HALF-PITCH,4 POS.",MATL,TDA04H0SB1R,SW1,,"C&K/Unimax, Inc."
131,101184-0002R,sw2-30x50-tda,1,each,,PS,,U,"SWITCH,DIP,SMT,HALF-PITCH,2 POS.",MATL,TDA02H0SB1R,SW3,,"C&K/Unimax, Inc."
132,103681-0002R,sw3-40x60-d20a,1,each,,PS,,U,"SWITCH,SMT,SLIDE,2 POSITION,J-HOOK",MATL,CAS-D20TA,SW2,,Copal Electronics
140,103679-0001R,sd-micro-3M-2900,1,each,,PS,,U,"CONN,SMT,RECEPTACLE,MICROSD",MATL,2908-05WB-MG,J4,,3M Electronic Products Division
141,101677-0001R,SAMTEC-MUSB,1,each,,PS,,U,"CONN,SMT,RECEPTACLE,5 POS,RIGHT ANGLE,MINI USB,TYPE B",MATL,MUSB-05-S-B-SM-A-K-TR,J20,,"Samtec, Inc."
142,102836-0001R,usb-top-microB,1,each,,PS,,U,"CONN,SMT,RECEPTACLE,5 POS,RIGHT ANGLE,MICRO USB,TYPE AB",MATL,ZX62-AB-5PA(11),J2,,"Hirose Electric, Inc."
144,102943-0001R,rj45-pulse_J0,1,each,,PS,,U,"CONN,JACK,RJ45,INTEGRATED MAGNETICS AND LED'S,8 CONTACTS,SHIELDED",MATL,J0011D01BNL,J5,,Pulse Engineering
149,100546-0002R,jump1x2-5635-2mm,1,each,,PL,,U,"HEADER,2 X 1,VERTICAL,2mm",SUBA,M22-2510205,J21,,Harwin
150,100546-0003R,hdr1x3-6040-2mm,1,each,,PL,,U,"HEADER,3 X 1,VERTICAL,2mm",SUBA,M22-2510305,J6,,Harwin
151,100546-0006R,hdr1x6-6040-2mm,3,each,,PL,,U,"HEADER,6 X 1,VERTICAL,2mm",SUBA,,"J11, J15, J19",,
152,100546-0010R,hdr1x10-6040-2mm,9,each,,PL,,U,"HEADER,10 X 1,VERTICAL,2mm",SUBA,,"J10, J12, J13, J14, J16, J17, J18, J8, J9",,
155,R0402-NOPOP,r402-25,24,each,,PS,,U,,NP,,"R0, R101, R105, R2, R255, R257, R259, R262, R304, R307, R308, R310, R311, R5, R58, R6, R7, R73, R74, R83, R90, R94, R95, R98",,
160,R0603-NOPOP,r603-35X45,9,each,,PS,,U,,NP,,"R27, R40, R41, R42, R43, R44, R45, R46, R97",,
162,C0603-NOPOP,c603-35x45,1,each,,PS,,U,,NP,,C107,,
163,C1206-NOPOP,C1206-40X70,1,each,,PS,,U,,NP,,C200,,
165,TP-30RD13-NO-POP,tp-30RD13,10,each,,PS,,U,,NP,,"M1, M10, M2, M3, M4, M5, M6, M7, M8, M9",,
170,TP-NO-POP,tp1-6040,18,each,,PS,,U,,NP,,"TP1, TP10, TP11, TP12, TP13, TP14, TP15, TP16, TP17, TP18, TP19, TP20, TP4, TP5, TP6, TP7, TP8, TP9",,
175,NO-POP,,1,each,,PS,,U,,NP,,P3,,
