Drill Listing
=============
Drill: .008  Tool: 1  Feed: 0  Speed: 0
X 1229727  Y 1028714
X 1223727  Y 1028714
X 1235952  Y 1028587
X 1253876  Y 1012060
X 1256376  Y 1015060
X 1248500  Y 1031000
X 1262727  Y 1036214
X 1240376  Y 1036560
X 1244876  Y 1047060
X 1251677  Y 1063912
X 1254877  Y 1065112
X 1258077  Y 1074312
X 1255227  Y 1089214
X 1246500  Y 1094500
X 1256900  Y 1098400
X 1240477  Y 1098712
X 1249000  Y 1102000
X 1261500  Y 1107500
X 1241500  Y 1112500
X 1253500  Y 1117500
X 1279277  Y 1084712
X 1272077  Y 1084312
X 1273227  Y 1048214
X 1281227  Y 1048214
X 1277727  Y 1036214
X 1280076  Y 1015060
X 1305227  Y 1014663
X 1300227  Y 1015714
X 1311227  Y 1023714
X 1311077  Y 1031359
X 1296227  Y 1038714
X 1312077  Y 1048859
X 1311073  Y 1064713
X 1311000  Y 1069500
X 1311000  Y 1072500
X 1301077  Y 1075359
X 1300573  Y 1085713
X 1311500  Y 1091000
X 1323227  Y 1114714
X 1335227  Y 1110714
X 1326727  Y 1096214
X 1323227  Y 1096214
X 1330000  Y 1092000
X 1317000  Y 1085000
X 1323277  Y 1083512
X 1326377  Y 1083459
X 1335677  Y 1069959
X 1333000  Y 1024000
X 1347227  Y 1020714
X 1347227  Y 1027214
X 1342077  Y 1037359
X 1342077  Y 1040859
X 1342077  Y 1044359
X 1340227  Y 1103214
X 1343727  Y 1110714
X 1343727  Y 1117714

End of Listing
