Field=#~Integer~#~50|Field=Designator~String~Designator~100|Field=MountType~String~MountType~100|Field=PackageReference~String~PackageReference~100|Field=Center-X(Mil)~String~Center-X(Mil)~100|Field=Center-X(mm)~String~Center-X(mm)~100|Field=Center-Y(Mil)~String~Center-Y(Mil)~100|Field=Center-Y(mm)~String~Center-Y(mm)~100|Field=Layer~String~Layer~100|Field=Pad-X(Mil)~String~Pad-X(Mil)~100|Field=Pad-X(mm)~String~Pad-X(mm)~100|Field=Pad-Y(Mil)~String~Pad-Y(Mil)~100|Field=Pad-Y(mm)~String~Pad-Y(mm)~100|Field=Ref-X(Mil)~String~Ref-X(Mil)~100|Field=Ref-X(mm)~String~Ref-X(mm)~100|Field=Ref-Y(Mil)~String~Ref-Y(Mil)~100|Field=Ref-Y(mm)~String~Ref-Y(mm)~100|Field=Rotation~String~Rotation~100|ReportField=Currency~<none>|ReportField=ProductionQuantity~1|ReportField=ProjectFileName~MCU009A.PrjPcb|ReportField=ProjectFullPath~C:\Users\a0271704\Desktop\MCU009A (1-16-2017 2-56-52 PM)\MCU009A.PrjPcb|ReportField=Title~Pick and Place For Project [MCU009A.PrjPcb] (PCB Document : MCU009A_PCB.PcbDoc)|ReportField=TotalQuantity~216|ReportField=ReportTime~5:49:56 PM|ReportField=ReportDate~1/16/2017|ReportField=ReportDateTime~1/16/2017 5:49:56 PM|ReportField=OutputName~Pick and Place|ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~BOM|ReportField=GeneratorDescription~Bill of Materials|ReportField=VariantName~None|ReportField=CopyrightYear~2016|ReportField=PCB_Layout~QC Graphics|ReportField=PCB_Rev~A|ReportField=PRJ_Customer~Public Release|ReportField=PRJ_Engineer~Brett Larimore|ReportField=PRJ_Number~MCU009|ReportField=PRJ_Title~F280049M controlCARD|ReportField=SCH_Rev~A|ReportField=TechSupport~http://www.ti.com/support|ReportField=TID~N/A|ReportField=Address1~Not shown in title block|ReportField=Address2~Not shown in title block|ReportField=Address3~Not shown in title block|ReportField=Address4~Not shown in title block|ReportField=Application_BuildNumber~|ReportField=ApprovedBy~Not shown in title block|ReportField=Author~Not shown in title block|ReportField=CheckedBy~Not shown in title block|ReportField=CompanyName~Not shown in title block|ReportField=ConfigurationParameters~|ReportField=ConfiguratorName~|ReportField=CurrentDate~1/16/2017|ReportField=CurrentTime~5:34:51 PM|ReportField=Date~Not shown in title block|ReportField=DocumentFullPathAndName~C:\Users\a0271704\Desktop\MCU009A (1-16-2017 2-56-52 PM)\MCU009A_ADC.SchDoc|ReportField=DocumentName~MCU009A_ADC.SchDoc|ReportField=DocumentNumber~4|ReportField=DrawnBy~|ReportField=Engineer~Not shown in title block|ReportField=ImagePath~Not shown in title block|ReportField=IsUserConfigurable~|ReportField=ModifiedDate~10/16/2016|ReportField=Organization~Not shown in title block|ReportField=PageSetup~Record=PageOptions:CenterHorizontal=True:CenterVertical=True:PrintScale=1.00:XCorrection=1.00:YCorrection=1.00:PrintKind=0:BorderSize=5000000:LeftOffset=0:BottomOffset=0:Orientation=2:PaperLength=1000:PaperWidth=1000:Scale=100:PaperSource=15:PrintQuality=600:MediaType=1:DitherType=10:PaperKind=Letter:PrintScaleMode=1|ReportField=ProjectName~MCU009A.PrjPcb|ReportField=Revision~Use project parameter SCH_Rev|ReportField=Rule~|ReportField=SheetNumber~4|ReportField=SheetTotal~7|ReportField=Time~Not shown in title block|ReportField=Title~ADC|ReportField=VersionControl_RevNumber~|ReportField=DataSourceFileName~MCU009A.PrjPcb|ReportField=DataSourceFullPath~C:\Users\a0271704\Desktop\MCU009A (1-16-2017 2-56-52 PM)\MCU009A.PrjPcb|ReportField=PCBDataSourceFileName~MCU009A_PCB.PcbDoc|ReportField=PCBDataSourceFullPath~C:\Users\a0271704\Desktop\MCU009A (1-16-2017 2-56-52 PM)\MCU009A_PCB.PcbDoc
58|C31|SMT|0402|2173.1|55.1967|1262.399|32.0649|Bottom|2149.478|54.5967|1262.399|32.0649|2173.1|55.1967|1262.4|32.065|0
59|C32|SMT|0402|149.999|3.81|495|12.573|Top|149.999|3.81|518.622|13.173|150|3.81|495|12.573|270
60|C33|SMT|0402|399.999|10.16|479.999|12.192|Top|399.999|10.16|503.621|12.792|400|10.16|480|12.192|270
61|C34|SMT|0603|538.1|13.6677|533.998|13.5635|Bottom|538.1|13.6677|502.502|12.7636|538.1|13.6677|534|13.5636|90
62|C35|SMT|0603|600|15.24|695.002|17.6531|Bottom|600|15.24|726.498|18.4531|600|15.24|695|17.653|270
63|C36|SMT|0603|638.1|16.2077|533.998|13.5635|Bottom|638.1|16.2077|502.502|12.7636|638.1|16.2077|534|13.5636|90
64|C37|SMT|0603|700|17.78|695.002|17.6531|Bottom|700|17.78|726.498|18.4531|700|17.78|695|17.653|270
65|C38|SMT|0603|740|18.796|533.998|13.5635|Bottom|740|18.796|502.502|12.7636|740|18.796|534|13.5636|90
66|C39|SMT|0603|800|20.32|695.002|17.6531|Bottom|800|20.32|726.498|18.4531|800|20.32|695|17.653|270
67|C40|SMT|0603|840|21.336|533.998|13.5635|Bottom|840|21.336|502.502|12.7636|840|21.336|534|13.5636|90
68|C41|SMT|0603|-136.902|-3.4773|652.4|16.571|Bottom|-136.902|-3.4773|620.904|15.771|-136.9|-3.4773|652.4|16.571|90
69|C42|SMT|0603|85|2.159|653.504|16.599|Bottom|85|2.159|622.008|15.799|85.002|2.1591|653.506|16.599|90
70|C43|SMT|0603|88.1|2.2377|337.4|8.57|Bottom|88.1|2.2377|368.896|9.37|88.1|2.2377|337.4|8.57|270
71|C44|SMT|0603|-141.898|-3.6042|337.4|8.57|Bottom|-141.898|-3.6042|368.896|9.37|-141.9|-3.6043|337.4|8.57|270
72|C45|SMT|0603|818.1|20.7797|137.402|3.49|Bottom|786.604|19.9797|137.402|3.49|818.1|20.7797|137.4|3.49|0
73|C46|SMT|0603|353.098|8.9687|132.4|3.363|Bottom|321.602|8.1687|132.4|3.363|353.1|8.9687|132.4|3.363|0
74|C47|SMT|0603|353.098|8.9687|207.402|5.268|Bottom|321.602|8.1687|207.402|5.268|353.1|8.9687|207.4|5.268|0
75|C48|SMT|0603|-141.9|-3.6043|337.4|8.57|Top|-141.9|-3.6043|305.904|7.77|-141.9|-3.6043|337.4|8.57|90
76|C49|SMT|0603|88.1|2.2377|337.401|8.57|Top|88.1|2.2377|305.904|7.77|88.1|2.2377|337.4|8.57|90
77|C50|SMT|0603|85|2.159|653.503|16.599|Top|85|2.159|685|17.399|85|2.159|653.503|16.599|270
78|C51|SMT|0603|-136.9|-3.4773|652.399|16.5709|Top|-136.9|-3.4773|683.896|17.371|-136.9|-3.4773|652.4|16.571|270
79|C52|SMT|0603|388.099|9.8577|337.4|8.57|Bottom|388.099|9.8577|305.903|7.7699|388.1|9.8577|337.4|8.57|90
80|C53|SMT|0603|163.1|4.1427|337.401|8.57|Bottom|163.1|4.1427|305.904|7.77|163.1|4.1427|337.4|8.57|90
81|C54|SMT|0603|163.1|4.1427|652.401|16.571|Bottom|163.1|4.1427|683.898|17.371|163.1|4.1427|652.4|16.571|270
82|C55|SMT|0603|388.1|9.8577|652.401|16.571|Bottom|388.1|9.8577|683.898|17.371|388.1|9.8577|652.4|16.571|270
83|C56|SMT|0603|163.1|4.1427|337.399|8.5699|Top|163.1|4.1427|305.902|7.7699|163.1|4.1427|337.4|8.57|90
84|C57|SMT|0603|388.1|9.8577|337.401|8.57|Top|388.1|9.8577|305.904|7.77|388.1|9.8577|337.4|8.57|90
85|C58|SMT|0603|388.1|9.8577|652.399|16.5709|Top|388.1|9.8577|683.896|17.371|388.1|9.8577|652.4|16.571|270
