Drill Listing
=============
Drill: .008  Tool: 1  Feed: 0  Speed: 0
X 1147253  Y 935866
X 1147253  Y 940866
X 1152253  Y 940866
X 1142253  Y 940866
X 1137253  Y 940866
X 1147253  Y 945866
X 1137253  Y 945866
X 1142253  Y 945866
X 1152253  Y 945866
X 1142253  Y 950866
X 1147253  Y 950866
X 1137253  Y 950866
X 1152253  Y 950866
X 1142253  Y 955866
X 1152253  Y 955866
X 1147253  Y 955866
X 1137253  Y 955866
X 1145131  Y 969974
X 1131110  Y 971856
X 1151300  Y 973600
X 1145610  Y 974356
X 1149131  Y 976774
X 1153200  Y 977800
X 1131610  Y 981356
X 1145610  Y 984356
X 1132610  Y 995100
X 1141400  Y 995200
X 1135610  Y 995356
X 1138131  Y 995474
X 1148800  Y 995900
X 1145800  Y 998800
X 1150900  Y 1001600
X 1132600  Y 1004800
X 1137600  Y 1004800
X 1128800  Y 1004800
X 1142253  Y 1004866
X 1129131  Y 1012974
X 1153631  Y 1013974
X 1151110  Y 1022356
X 1140631  Y 1023474
X 1146631  Y 1023474
X 1148631  Y 1023474
X 1138631  Y 1023474
X 1160631  Y 1023474
X 1168631  Y 1023474
X 1166631  Y 1023474
X 1173400  Y 1022200
X 1156600  Y 1013800
X 1158400  Y 1011400
X 1154200  Y 1002500
X 1162900  Y 999000
X 1168800  Y 999000
X 1178100  Y 995900
X 1174900  Y 995400
X 1167000  Y 985100
X 1161110  Y 984356
X 1174900  Y 983700
X 1169000  Y 983000
X 1171000  Y 980900
X 1172910  Y 978700
X 1177110  Y 976300
X 1155400  Y 976000
X 1161110  Y 974356
X 1167032  Y 974351
X 1157200  Y 974200
X 1159156  Y 972382
X 1165063  Y 972382
X 1168000  Y 966053
X 1171000  Y 964600
X 1174000  Y 962800
X 1177000  Y 961000
X 1157253  Y 955866
X 1162253  Y 955866
X 1165753  Y 955866
X 1157253  Y 950866
X 1162253  Y 950866
X 1165753  Y 950866
X 1170400  Y 949600
X 1157253  Y 945866
X 1162253  Y 945866
X 1165753  Y 945866
X 1178200  Y 942400
X 1157253  Y 940866
X 1167253  Y 940866
X 1162253  Y 940866
X 1165600  Y 937000
X 1167253  Y 935866
X 1162253  Y 935866
X 1157253  Y 935866
X 1157253  Y 930866
X 1162253  Y 930866
X 1167253  Y 930866
X 1162253  Y 925866
X 1157253  Y 925866
X 1167253  Y 925866
X 1169800  Y 907600
X 1177110  Y 907256
X 1159600  Y 906574
X 1177110  Y 897656
X 1172800  Y 897400
X 1164531  Y 897053
X 1167531  Y 897053
X 1159600  Y 896800
X 1174600  Y 896200
X 1171000  Y 896200
X 1177600  Y 883600
X 1155400  Y 883000
X 1162600  Y 882400
X 1177000  Y 880600
X 1174600  Y 878800
X 1171600  Y 875800
X 1164400  Y 875800
X 1175200  Y 872800
X 1168600  Y 872800
X 1178200  Y 872200
X 1174000  Y 870400
X 1156600  Y 865600
X 1171000  Y 856000
X 1173353  Y 855966
X 1174600  Y 853000
X 1171053  Y 852966
X 1167400  Y 850000
X 1177600  Y 846400
X 1165000  Y 838600
X 1160200  Y 838600
X 1166800  Y 833200
X 1166800  Y 830800
X 1164400  Y 828400
X 1154200  Y 820600
X 1174600  Y 820000
X 1156600  Y 818800
X 1165000  Y 818200
X 1172800  Y 818200
X 1159000  Y 815200
X 1169200  Y 814000
X 1159000  Y 812200
X 1171000  Y 808600
X 1159000  Y 808000
X 1162600  Y 808000
X 1176400  Y 804400
X 1172200  Y 803800
X 1166200  Y 802000
X 1156000  Y 802000
X 1192000  Y 802000
X 1194110  Y 802856
X 1192000  Y 804400
X 1199200  Y 805000
X 1180600  Y 806200
X 1180000  Y 808600
X 1185400  Y 813400
X 1181631  Y 818474
X 1183631  Y 818474
X 1179631  Y 818474
X 1198000  Y 818800
X 1187200  Y 818800
X 1199800  Y 823600
X 1189600  Y 827800
X 1202200  Y 829000
X 1185400  Y 839200
X 1198000  Y 842200
X 1193800  Y 854200
X 1193200  Y 872200
X 1192607  Y 883777
X 1188669  Y 883777
X 1184731  Y 883777
X 1194576  Y 885746
X 1190638  Y 885746
X 1182765  Y 885746
X 1186700  Y 885746
X 1178910  Y 896456
X 1186000  Y 907000
X 1182400  Y 907000
X 1188400  Y 907000
X 1180600  Y 908800
X 1195000  Y 916600
X 1184800  Y 917200
X 1182200  Y 921200
X 1181931  Y 928853
X 1193590  Y 930047
X 1195559  Y 932016
X 1185400  Y 933400
X 1191400  Y 938800
X 1185131  Y 943774
X 1195559  Y 943830
X 1195559  Y 951706
X 1185131  Y 952174
X 1185131  Y 956374
X 1195559  Y 957613
X 1180600  Y 959200
X 1185131  Y 961174
X 1194131  Y 961174
X 1196500  Y 963653
X 1195559  Y 971396
X 1185000  Y 971400
X 1188400  Y 979600
X 1184735  Y 982203
X 1180797  Y 982203
X 1195559  Y 983210
X 1190000  Y 983700
X 1178828  Y 984172
X 1186704  Y 984172
X 1182766  Y 984172
X 1192611  Y 984172
X 1187331  Y 995453
X 1183900  Y 995500
X 1190600  Y 995700
X 1201700  Y 1004700
X 1198300  Y 1007100
X 1191300  Y 1007700
X 1183600  Y 1022200
X 1215035  Y 1029356
X 1209500  Y 1021500
X 1207000  Y 1015600
X 1222600  Y 1012000
X 1205100  Y 1010000
X 1227400  Y 1007200
X 1220200  Y 1001800
X 1209400  Y 1001200
X 1211800  Y 997000
X 1228000  Y 997000
X 1224400  Y 992800
X 1213600  Y 992200
X 1210600  Y 988000
X 1220200  Y 987400
X 1208200  Y 985000
X 1210600  Y 980800
X 1209000  Y 977900
X 1207000  Y 976000
X 1213000  Y 973600
X 1219000  Y 973000
X 1227400  Y 965800
X 1208200  Y 965800
X 1218400  Y 965800
X 1220200  Y 955000
X 1209400  Y 952600
X 1207373  Y 949737
X 1209342  Y 947768
X 1207373  Y 945799
X 1223200  Y 944200
X 1225000  Y 944200
X 1228600  Y 944200
X 1207373  Y 941861
X 1209342  Y 939892
X 1207373  Y 937923
X 1209342  Y 935954
X 1207373  Y 933985
X 1209342  Y 928078
X 1207373  Y 926109
X 1209342  Y 924140
X 1207373  Y 922171
X 1207600  Y 918400
X 1207000  Y 912400
X 1208800  Y 910600
X 1209400  Y 908200
X 1207000  Y 906400
X 1209342  Y 904450
X 1207373  Y 902481
X 1209342  Y 900512
X 1208200  Y 898600
X 1208200  Y 893800
X 1209400  Y 890200
X 1205800  Y 889000
X 1208800  Y 887800
X 1205800  Y 872200
X 1209400  Y 871000
X 1205800  Y 869800
X 1223200  Y 862600
X 1223200  Y 860800
X 1206400  Y 853600
X 1206400  Y 851800
X 1222600  Y 838000
X 1204000  Y 834400
X 1205800  Y 827200
X 1208200  Y 823600
X 1205800  Y 820600
X 1210600  Y 817000
X 1214000  Y 813500
X 1205200  Y 813400
X 1205610  Y 802356
X 1230400  Y 944200
X 1229200  Y 963400
X 1231500  Y 974500
X 1232500  Y 977000
X 1230000  Y 991500
X 1230400  Y 1025200
Drill: .01  Tool: 2  Feed: 95  Speed: 300
X 1166925  Y 867037
X 1164631  Y 1011474
X 1052623  Y 1025749
Drill: .012  Tool: 3  Feed: 95  Speed: 300
X 1188206  Y 850998
X 1182301  Y 850998
X 1185253  Y 852966
X 1182301  Y 854935
X 1188206  Y 854935
Drill: .02  Tool: 4  Feed: 197  Speed: 550
X 981131  Y 917374
X 999131  Y 917374
X 981131  Y 932374
X 999131  Y 932374
X 1202331  Y 993653
X 1188400  Y 875200
X 1181200  Y 875200
X 1221552  Y 970051
X 1217331  Y 983053
Drill: .036  Tool: 5  Feed: 197  Speed: 550
X 1000000  Y 1000000
X 1000000  Y 1013779
End of Listing
